id,fen,side_to_move,solution_moves,pre_eval_cp,best_eval_cp,played_eval_cp,eval_gap_cp,heuristic_difficulty,is_mate,source_game,created_at,label_good
109,r3kb1r/1ppqp1p1/p1n2p2/3p1b1p/3P1B2/P1N1P2P/1PPQBPP1/R4RK1 b kq - 0 11,b,"[""e7e6""]",57,-48,-202,154,1000.0,0,cahxree_2024_2025.pgn#16#ply22,2025-12-02 21:21:15,0
110,2kr1b1r/1pN3p1/p1n2p2/4p2p/3P4/P3P2q/1PPQBP1B/R4RK1 b - - 1 15,b,"[""h8h6""]",0,0,-52,52,1000.0,0,cahxree_2024_2025.pgn#16#ply30,2025-12-02 21:21:17,0
111,3r1b1r/1p4p1/pkn2p2/4P2p/8/P1Q1P2q/1PP1BP1B/R4RK1 b - - 0 17,b,"[""h8h6""]",-52,70,-15,85,1000.0,0,cahxree_2024_2025.pgn#16#ply34,2025-12-02 21:21:18,0
112,3r1b1r/1p4p1/pkn5/4B2p/8/P1Q1P2q/1PP1BP2/R4RK1 b - - 0 18,b,"[""h8h6""]",-537,581,182,399,1200.0,0,cahxree_2024_2025.pgn#16#ply36,2025-12-02 21:21:18,1
113,1k1r3r/1p4p1/p2b4/7p/5P2/P1Q1P2q/1PP1B3/R4RK1 b - - 0 22,b,"[""h3g3""]",-619,609,269,340,1200.0,0,cahxree_2024_2025.pgn#16#ply44,2025-12-02 21:21:20,1
114,1k1r4/1p6/p2b4/7p/5p1q/P1Q1P3/1PPKBRr1/3R4 b - - 7 28,b,"[""h4f2""]",-897,908,625,283,1100.0,0,cahxree_2024_2025.pgn#16#ply56,2025-12-02 21:21:23,1
115,1k6/1p6/p7/7p/5p1q/P1b1P3/1PP3R1/2KB4 b - - 0 31,b,"[""c3f6""]",-708,714,593,121,1050.0,0,cahxree_2024_2025.pgn#16#ply62,2025-12-02 21:21:25,0
116,r1bqkb1r/p2p1ppp/2p1pn2/8/4P3/4BP2/PPP3PP/RN1QKB1R b KQkq - 0 7,b,"[""d8c7""]",-93,90,36,54,1000.0,0,cahxree_2024_2025.pgn#17#ply14,2025-12-02 21:21:28,0
117,r2r2k1/2q1bpp1/b1pp1n1p/p3p3/4P3/PBN1BP2/1PPQ2PP/3RR1K1 b - - 5 16,b,"[""d6d5""]",-102,112,22,90,1000.0,0,cahxree_2024_2025.pgn#17#ply32,2025-12-02 21:21:32,0
118,1r1r2k1/2q1bpp1/b1pp1n1p/p3p3/4P3/PB2BP2/1PPQN1PP/3RR1K1 b - - 7 17,b,"[""d6d5""]",-137,124,-17,141,1000.0,0,cahxree_2024_2025.pgn#17#ply34,2025-12-02 21:21:33,0
119,1r1r2k1/2q2pp1/3b1n1p/p1p1p3/3pPP2/PB4P1/1PP1Q2P/2BR1R1K b - - 0 23,b,"[""e5f4""]",-68,63,-3,66,1000.0,0,cahxree_2024_2025.pgn#17#ply46,2025-12-02 21:21:36,0
120,1r2r1k1/2q2pp1/3b1n1p/p1p1pP2/3pP3/PB4P1/1PP1Q2P/2BR1R1K b - - 0 24,b,"[""b8b3""]",-74,72,-72,144,1000.0,0,cahxree_2024_2025.pgn#17#ply48,2025-12-02 21:21:36,0
121,2r1r1k1/2q2pp1/3b1n1p/p1p1pP2/2BpP3/P5P1/1PP1Q2P/2BR1R1K b - - 2 25,b,"[""c7c6""]",75,-70,-181,111,1000.0,0,cahxree_2024_2025.pgn#17#ply50,2025-12-02 21:21:37,0
122,2r1r1k1/2q2pp1/3b1n1p/2p1pP2/p1BpP1P1/P7/1PP1Q2P/2BR1R1K b - - 0 26,b,"[""g8f8""]",195,-180,-292,112,1000.0,0,cahxree_2024_2025.pgn#17#ply52,2025-12-02 21:21:37,0
123,1r2r1k1/2q2ppn/3b4/2p1pPP1/p1BpP3/P7/1PP1Q3/2BR1R1K b - - 0 29,b,"[""h7g5""]",488,-513,-633,120,1000.0,0,cahxree_2024_2025.pgn#17#ply58,2025-12-02 21:21:39,0
124,rn2kbnr/ppp1pppp/8/q7/6b1/2N2P2/PPPPN1PP/R1BQKB1R b KQkq - 0 5,b,"[""g4d7""]",14,-20,-78,58,1000.0,0,cahxree_2024_2025.pgn#18#ply10,2025-12-02 21:21:41,0
125,rn2kbnr/ppp1pppp/8/q6b/8/2NP1P2/PPP1N1PP/R1BQKB1R b KQkq - 0 6,b,"[""b8c6""]",-12,19,-39,58,1000.0,0,cahxree_2024_2025.pgn#18#ply12,2025-12-02 21:21:41,0
126,rn3rk1/pp3ppp/2p2n2/2q1pN1b/8/2NP1P2/PPP1B1PP/R2QRK2 b - - 4 14,b,"[""c5b6""]",-23,17,-256,273,1000.0,0,cahxree_2024_2025.pgn#18#ply28,2025-12-02 21:21:45,0
127,3r1r1k/pp2Q1pp/2p2np1/q3n3/4P1P1/2N2P2/PPP1B1KP/R3R3 b - - 3 23,b,"[""f6d7""]",-83,57,-52,109,1000.0,0,cahxree_2024_2025.pgn#18#ply46,2025-12-02 21:21:50,0
128,5r1k/pp3rpp/2p2np1/q3n3/4P1P1/1QN2P2/PPP1B1KP/R2R4 b - - 9 26,b,"[""f6g4""]",-407,395,114,281,1000.0,0,cahxree_2024_2025.pgn#18#ply52,2025-12-02 21:21:51,1
129,5r1k/pp3rpp/2p2np1/2q1n3/N3P1P1/1Q3P2/PPP1B1KP/R2R4 b - - 11 27,b,"[""c5e7""]",-135,137,26,111,1000.0,0,cahxree_2024_2025.pgn#18#ply54,2025-12-02 21:21:52,0
130,5r1k/pp3rpp/2p2np1/q3n3/N3P1P1/1Q3P2/PPPRB1KP/R7 b - - 13 28,b,"[""a5d2""]",-767,834,74,760,1250.0,0,cahxree_2024_2025.pgn#18#ply56,2025-12-02 21:21:52,1
131,5r1k/p1q2rpp/2p2np1/1pN1n3/4P1P1/2Q2P2/PPPRB1KP/R7 b - - 3 30,b,"[""f6g4""]",-210,238,-19,257,1000.0,0,cahxree_2024_2025.pgn#18#ply60,2025-12-02 21:21:53,1
132,rnbqk1nr/pp2ppbp/3p2p1/2p5/4P3/2P2N2/PP1PBPPP/RNBQ1RK1 b kq - 1 5,b,"[""g8f6""]",-13,11,-62,73,1000.0,0,cahxree_2024_2025.pgn#19#ply10,2025-12-02 21:21:55,0
133,r2q1rk1/pp1nppbp/5np1/2p1P3/6b1/2P2N2/PPQNBPPP/R1B2RK1 b - - 0 10,b,"[""d7e5""]",-115,114,-53,167,1000.0,0,cahxree_2024_2025.pgn#19#ply20,2025-12-02 21:21:58,0
134,r4rk1/p1nnppbp/6p1/qpp1P3/4QB2/2P2B2/PP3PPP/R4RK1 b - - 2 15,b,"[""a8d8""]",-440,464,367,97,1050.0,0,cahxree_2024_2025.pgn#19#ply30,2025-12-02 21:22:00,0
135,5rk1/p4pbp/3Pp1p1/qpnn4/2p5/P1P2BB1/1PQ2PPP/R5K1 b - - 0 21,b,"[""d5f6""]",-469,479,421,58,1050.0,0,cahxree_2024_2025.pgn#19#ply42,2025-12-02 21:22:03,0
136,5rk1/p5bp/3P2p1/qp1p1p2/2p5/PPPn2B1/2Q2PPP/3R2K1 b - - 0 24,b,"[""a5d8""]",-507,507,403,104,1050.0,0,cahxree_2024_2025.pgn#19#ply48,2025-12-02 21:22:04,0
137,5rk1/p6p/3P1bp1/1p6/5B2/P2p4/5PPP/6K1 b - - 0 30,b,"[""f6c3""]",-820,825,721,104,1100.0,0,cahxree_2024_2025.pgn#19#ply60,2025-12-02 21:22:07,0
138,3r2k1/p6p/3P1bp1/1p6/5B2/P2p4/5PPP/5K2 b - - 2 31,b,"[""f6c3""]",-772,786,726,60,1050.0,0,cahxree_2024_2025.pgn#19#ply62,2025-12-02 21:22:08,0
139,3r2k1/p6p/3P1b2/1p4p1/8/P2p2B1/5PPP/5K2 b - - 1 32,b,"[""f6c3""]",-871,904,802,102,1100.0,0,cahxree_2024_2025.pgn#19#ply64,2025-12-02 21:22:08,0
140,rnbqk1nr/pp1pppbp/6p1/4P3/3P4/8/PP3PPP/RNBQKBNR b KQkq - 0 5,b,"[""d7d6""]",-33,38,-75,113,1000.0,0,cahxree_2024_2025.pgn#20#ply10,2025-12-02 21:22:11,0
141,r1b1k2r/pp1pppbp/2n3pn/q3P3/3P4/2N2N2/PP3PPP/R1BQKB1R b KQkq - 8 9,b,"[""e8g8""]",47,-48,-143,95,1000.0,0,cahxree_2024_2025.pgn#20#ply18,2025-12-02 21:22:13,0
142,r1b2rk1/p2pppbp/6p1/1p6/7P/2N5/PP1BKPP1/R6R b - - 1 17,b,"[""c8b7""]",-460,451,311,140,1050.0,0,cahxree_2024_2025.pgn#20#ply34,2025-12-02 21:22:16,0
143,rnbqkb1r/pp1ppppp/5n2/2p5/3P4/6P1/PPP1PPBP/RNBQK1NR b KQkq - 0 3,b,"[""c5d4""]",-30,44,-78,122,1000.0,0,cahxree_2024_2025.pgn#21#ply6,2025-12-02 21:22:19,0
144,r1bq1rk1/pp1p1ppp/2n1pn2/2b5/8/P4NP1/2PNPPBP/R1BQ1RK1 b - - 3 9,b,"[""b7b6""]",-158,179,109,70,1000.0,0,cahxree_2024_2025.pgn#21#ply18,2025-12-02 21:22:22,0
145,r2q1rk1/pp3pp1/2nb1n1p/3pp3/6b1/PN3NP1/1BPQPPBP/R4RK1 b - - 3 14,b,"[""a8c8""]",-291,291,144,147,1000.0,0,cahxree_2024_2025.pgn#21#ply28,2025-12-02 21:22:25,0
146,r2q1rk1/pp3pp1/2nb1n1p/3p4/4p3/PN4P1/1BPQPPBP/R4RK1 b - - 1 16,b,"[""d6e5""]",-196,218,78,140,1000.0,0,cahxree_2024_2025.pgn#21#ply32,2025-12-02 21:22:26,0
147,r2q1rk1/pp3pp1/2nb3p/3Q4/4p1n1/PN4P1/1BP1PPBP/R4RK1 b - - 0 17,b,"[""d6g3""]",-168,171,-296,467,1150.0,0,cahxree_2024_2025.pgn#21#ply34,2025-12-02 21:22:26,0
148,r4rk1/pp3pp1/1qn4p/8/4pQn1/PN4P1/1BP1PPB1/R2R2K1 b - - 2 20,b,"[""f7f5""]",437,-423,-584,161,1000.0,0,cahxree_2024_2025.pgn#21#ply40,2025-12-02 21:22:28,0
149,r3kb1r/pp1n1ppp/2p1p3/8/3P2q1/3BB3/PP1Q1P1P/R4R1K b kq - 7 20,b,"[""g4f3""]",-374,395,275,120,1000.0,0,cahxree_2024_2025.pgn#22#ply40,2025-12-02 21:22:38,0
150,r3k2r/pp3pR1/2pbp2p/7n/3P1P1q/3B4/PP1Q1B1P/R6K b kq - 2 25,b,"[""h4h3""]",-323,341,267,74,1000.0,0,cahxree_2024_2025.pgn#22#ply50,2025-12-02 21:22:41,0
151,r3k2r/pp3pR1/2pbp2p/8/3PBn2/8/PP3B1P/R6K b kq - 1 27,b,"[""f4h3""]",-345,363,275,88,1000.0,0,cahxree_2024_2025.pgn#22#ply54,2025-12-02 21:22:42,0
152,2kr3r/pp3p2/2pbp2p/7n/3PB3/8/PP3BRP/6RK b - - 5 29,b,"[""h5f4""]",-349,377,270,107,1000.0,0,cahxree_2024_2025.pgn#22#ply58,2025-12-02 21:22:43,0
153,2kr3r/pp3p2/2pbpn1p/8/3P4/5B2/PP3BRP/6RK b - - 7 30,b,"[""d6e7""]",-261,269,158,111,1000.0,0,cahxree_2024_2025.pgn#22#ply60,2025-12-02 21:22:43,0
154,2kr4/pp2bpR1/2p1pn1p/8/3P3B/5B2/PP5P/7K b - - 2 33,b,"[""f6e8""]",-381,389,238,151,1000.0,0,cahxree_2024_2025.pgn#22#ply66,2025-12-02 21:22:45,0
155,2k5/pp2R3/2p1pn1p/8/7r/5B2/PP5P/7K b - - 0 35,b,"[""f6g4""]",-274,257,177,80,1000.0,0,cahxree_2024_2025.pgn#22#ply70,2025-12-02 21:22:46,0
156,2k5/pp2R3/2p1pn1p/8/2B1r3/8/PP5P/7K b - - 4 37,b,"[""e4c4""]",-542,535,472,63,1050.0,0,cahxree_2024_2025.pgn#22#ply74,2025-12-02 21:22:47,0
157,r2qk1nr/1ppbbppp/p2pp3/8/3PP3/2N2N2/PPP2PPP/R1BQ1RK1 b kq - 1 7,b,"[""g8f6""]",7,-2,-74,72,1000.0,0,cahxree_2024_2025.pgn#23#ply14,2025-12-02 21:22:50,0
158,r2qk1nr/1ppbbp1p/p3p3/3pP1p1/3P4/2N2N1P/PPP2PP1/R1BQ1RK1 b kq - 0 9,b,"[""h7h5""]",-10,14,-78,92,1000.0,0,cahxree_2024_2025.pgn#23#ply18,2025-12-02 21:22:51,0
159,r2qk1nr/1p1bbp1p/p3p3/2ppP1p1/3P4/2N1BN1P/PPP2PP1/R2Q1RK1 b kq - 1 10,b,"[""h7h5""]",-33,34,-100,134,1000.0,0,cahxree_2024_2025.pgn#23#ply20,2025-12-02 21:22:51,0
160,r2qk1nr/1p1bbp2/p3p3/3pP2p/3N4/2N1B2P/PPPQ1P2/3R1RK1 b kq - 0 14,b,"[""d8c7""]",13,-10,-83,73,1000.0,0,cahxree_2024_2025.pgn#23#ply28,2025-12-02 21:22:53,0
161,2rqk1nr/3b1p2/p3p3/1p1pP2p/3B4/P1NQ3P/1PP2P1K/3R1R2 b k - 0 18,b,"[""g8h6""]",31,-41,-96,55,1000.0,0,cahxree_2024_2025.pgn#23#ply36,2025-12-02 21:22:55,0
162,2rqk2r/3bnp2/p3p3/1p1pP2p/3B4/P2Q3P/1PP1NP1K/3R1R2 b k - 2 19,b,"[""e7f5""]",80,-87,-172,85,1000.0,0,cahxree_2024_2025.pgn#23#ply38,2025-12-02 21:22:56,0
163,2rqk2r/3b1p2/p3p3/1p1pP3/3B3p/P2Q3P/1PP2P1K/3R1R2 b k - 0 22,b,"[""d8g5""]",167,-156,-244,88,1000.0,0,cahxree_2024_2025.pgn#23#ply44,2025-12-02 21:22:57,0
164,2r1k2r/2qb1p2/p3p3/1p1pP3/3B3p/P1PQ3P/1P3P1K/3R1R2 b k - 0 23,b,"[""b5b4""]",234,-247,-322,75,1000.0,0,cahxree_2024_2025.pgn#23#ply46,2025-12-02 21:22:58,0
165,r1b1k1nr/ppq1ppb1/2np2pp/8/4P3/2P1BN2/PP1NBPPP/2RQ1RK1 b kq - 1 10,b,"[""g8f6""]",6,-3,-184,181,1000.0,0,cahxree_2024_2025.pgn#24#ply20,2025-12-02 21:23:02,0
166,r1b1kbnr/ppq2p2/2np2pp/4p3/2N1P3/2P1BN2/PP1QBPPP/2R2RK1 b kq - 3 12,b,"[""g8f6""]",48,-49,-268,219,1000.0,0,cahxree_2024_2025.pgn#24#ply24,2025-12-02 21:23:03,0
167,r1b1kbnr/2q2p2/p1np2pp/1p2p3/4P3/N1P1BN2/PP1QBPPP/2RR2K1 b kq - 1 14,b,"[""g8f6""]",218,-191,-351,160,1000.0,0,cahxree_2024_2025.pgn#24#ply28,2025-12-02 21:23:04,0
168,3rkb1r/2q2p2/p1n2npp/1p1bp3/1P6/N1P1BN2/PQ2BPPP/2RR2K1 b k - 3 19,b,"[""d5f3""]",178,-161,-219,58,1000.0,0,cahxree_2024_2025.pgn#24#ply38,2025-12-02 21:23:07,0
169,3rk2r/2q2pb1/p1n2npp/1p2p3/1PP5/N3BB2/PQ3PPP/2RR2K1 b k - 0 21,b,"[""e8g8""]",111,-122,-271,149,1000.0,0,cahxree_2024_2025.pgn#24#ply42,2025-12-02 21:23:08,0
170,3rk2r/2q2pb1/p1n2npp/1P6/1P2p3/N3BB2/PQ3PPP/2RR2K1 b k - 0 22,b,"[""e8g8""]",77,-82,-396,314,1150.0,0,cahxree_2024_2025.pgn#24#ply44,2025-12-02 21:23:08,0
171,4k2r/2q2pb1/p1n2npp/1P6/1P2p3/N3B3/PQ3PPP/2RB2K1 b k - 0 23,b,"[""a6b5""]",375,-404,-528,124,1000.0,0,cahxree_2024_2025.pgn#24#ply46,2025-12-02 21:23:09,0
172,rnbq1rk1/ppp1bppp/3p1n2/8/3NP3/1PN5/PBP2PPP/R2QKB1R b KQ - 2 7,b,"[""d6d5""]",-30,27,-145,172,1000.0,0,cahxree_2024_2025.pgn#25#ply14,2025-12-02 21:23:13,0
173,rn1q1rk1/p1p1bppp/1p1p1n2/5P2/8/1PN5/PBP2PPP/R2QKB1R b KQ - 0 9,b,"[""d6d5""]",26,-29,-195,166,1000.0,0,cahxree_2024_2025.pgn#25#ply18,2025-12-02 21:23:14,0
174,r2q1rk1/p2nbppp/1p1p4/2p2P2/4Q3/1P6/PBP2PPP/R3KB1R b KQ - 0 12,b,"[""f8e8""]",-451,435,18,417,1200.0,0,cahxree_2024_2025.pgn#25#ply24,2025-12-02 21:23:15,1
175,r1bqkb1r/p2p1ppp/2p2n2/4p3/2B1P3/2N5/PPP2PPP/R1BQK2R b KQkq - 3 7,b,"[""f8b4""]",-21,17,-138,155,1000.0,0,cahxree_2024_2025.pgn#26#ply14,2025-12-02 21:23:19,0
176,r3k2r/p2bbppp/2p5/4p3/4B3/4B3/PPP1KPPP/R6R b kq - 4 13,b,"[""f7f5""]",-18,16,-86,102,1000.0,0,cahxree_2024_2025.pgn#26#ply26,2025-12-02 21:23:22,0
177,r4rk1/p2bbppp/2p5/4p3/4B3/4B3/PPP1KPPP/R2R4 b - - 6 14,b,"[""d7g4""]",55,-50,-281,231,1000.0,0,cahxree_2024_2025.pgn#26#ply28,2025-12-02 21:23:23,0
178,r2r2k1/p2bbppp/2p5/4p3/4B3/4BP2/PPP1K1PP/R2R4 b - - 0 15,b,"[""a8b8""]",118,-108,-290,182,1000.0,0,cahxree_2024_2025.pgn#26#ply30,2025-12-02 21:23:23,0
179,B2r2k1/4bppp/p7/4p3/8/4BP2/PPP1K1PP/R7 b - - 0 18,b,"[""d8a8""]",301,-308,-562,254,1000.0,0,cahxree_2024_2025.pgn#26#ply36,2025-12-02 21:23:24,0
180,r2qkbnr/1b1n1ppp/pp1pp3/2p1P3/P4B2/2NP1N2/1PP1BPPP/R2QK2R b KQkq - 0 8,b,"[""d6e5""]",-109,108,23,85,1000.0,0,cahxree_2024_2025.pgn#27#ply16,2025-12-02 21:23:29,0
181,r2qkbnr/1b1n1ppp/pp2p3/2ppP3/P4B2/2NP1N2/1PP1BPPP/R2Q1RK1 b kq - 1 9,b,"[""g8e7""]",-72,51,-1,52,1000.0,0,cahxree_2024_2025.pgn#27#ply18,2025-12-02 21:23:29,0
182,r2qk1nr/1b1nbppp/pp2p3/2ppP3/P4B2/2NP1N2/1PP1BPPP/R2QR1K1 b kq - 3 10,b,"[""g7g5""]",-130,139,0,139,1000.0,0,cahxree_2024_2025.pgn#27#ply20,2025-12-02 21:23:30,0
183,2rqk1nr/1b1nbppp/pp2p3/2ppP3/P2P1B2/2N2N2/1PP1BPPP/R2QR1K1 b k - 0 11,b,"[""g7g5""]",-21,16,-46,62,1000.0,0,cahxree_2024_2025.pgn#27#ply22,2025-12-02 21:23:30,0
184,2rqk1nr/1b1nbppp/pp2p3/3pP3/P2N1B2/2N5/1PP1BPPP/R2QR1K1 b k - 0 12,b,"[""e7c5""]",0,0,-99,99,1000.0,0,cahxree_2024_2025.pgn#27#ply24,2025-12-02 21:23:30,0
185,2rqk2r/1b3p1p/pp2p1pQ/2npPN2/P7/2N2B2/1PP2PPP/R3R1K1 b k - 0 18,b,"[""g6f5""]",86,-76,-424,348,1150.0,0,cahxree_2024_2025.pgn#27#ply36,2025-12-02 21:23:33,0
186,2rqkr2/1b3pQp/pp2P1p1/2np1p2/P7/2N2B2/1PP2PPP/R3R1K1 b - - 0 20,b,"[""f7e6""]",122,-127,-317,190,1000.0,0,cahxree_2024_2025.pgn#27#ply40,2025-12-02 21:23:34,0
187,2rqkr2/1b3pQp/pp2n1p1/3p1p2/P7/2N2B2/1PP2PPP/3RR1K1 b - - 1 21,b,"[""e8d7""]",286,-341,-404,63,1000.0,0,cahxree_2024_2025.pgn#27#ply42,2025-12-02 21:23:35,0
188,r1bqkb1r/ppp2ppp/2n5/3np3/8/3P1N2/PPPBBPPP/RN1QK2R b KQkq - 3 7,b,"[""h7h6""]",-73,72,-120,192,1000.0,0,cahxree_2024_2025.pgn#28#ply14,2025-12-02 21:23:38,0
189,r2q1rk1/ppp2ppp/2nb4/4pbB1/2P3n1/2NP1N2/PP2BPPP/R2QR1K1 b - - 6 13,b,"[""f7f6""]",-72,82,-68,150,1000.0,0,cahxree_2024_2025.pgn#28#ply26,2025-12-02 21:23:41,0
190,2br1rk1/ppp2ppp/2nq4/3Np2n/2P5/P2P1N1P/1PQ1BPP1/3RR1K1 b - - 8 20,b,"[""h5f6""]",-3,8,-134,142,1000.0,0,cahxree_2024_2025.pgn#28#ply40,2025-12-02 21:23:44,0
191,3r1rk1/pbp3pp/3q4/2P1pp2/5n2/P2P1N1P/2Q1BPP1/3RR1K1 b - - 0 25,b,"[""d6g6""]",-276,300,6,294,1000.0,0,cahxree_2024_2025.pgn#28#ply50,2025-12-02 21:23:47,1
192,3r1rk1/pbp3pp/6q1/2P1pp2/7N/P2P3P/2Q1RPP1/3R2K1 b - - 2 27,b,"[""g6f6""]",-82,69,-88,157,1000.0,0,cahxree_2024_2025.pgn#28#ply54,2025-12-02 21:23:48,0
193,3r1rk1/pbp3pp/2P5/4ppq1/7N/P2P3P/2Q1RPP1/3R2K1 b - - 0 28,b,"[""b7c6""]",96,-75,-260,185,1000.0,0,cahxree_2024_2025.pgn#28#ply56,2025-12-02 21:23:48,0
194,3r1rk1/p1p3pp/b1P5/4ppq1/8/P2P1N1P/2Q1RPP1/3R2K1 b - - 2 29,b,"[""g5f6""]",216,-239,-410,171,1000.0,0,cahxree_2024_2025.pgn#28#ply58,2025-12-02 21:23:49,0
195,3r1rk1/p1p3pp/b1P5/4Np2/5q2/P2P3P/2Q1RPP1/3R2K1 b - - 0 30,b,"[""d8d5""]",400,-409,-530,121,1000.0,0,cahxree_2024_2025.pgn#28#ply60,2025-12-02 21:23:49,0
196,r2q1rk1/pp3ppp/2nbpn2/3p3b/3P4/1PP2N1P/PB1NBPP1/R2QK2R b KQ - 2 11,b,"[""d8c7""]",-81,81,18,63,1000.0,0,cahxree_2024_2025.pgn#29#ply22,2025-12-02 21:23:55,0
197,3rr1k1/Qpq2ppp/5n2/3pb3/8/1PP2B1P/PB3PP1/R4RK1 b - - 0 19,b,"[""d8a8""]",-443,441,-101,542,1200.0,0,cahxree_2024_2025.pgn#29#ply38,2025-12-02 21:23:58,1
198,3rr1k1/1Q3ppp/5n2/3p4/8/1Pq2B1P/P4PP1/R4RK1 b - - 0 21,b,"[""h7h5""]",115,-98,-151,53,1000.0,0,cahxree_2024_2025.pgn#29#ply42,2025-12-02 21:23:59,0
199,3rr1k1/1Q3ppp/8/3B4/P7/1P5P/1q1n1PP1/2R2RK1 b - - 0 24,b,"[""d2f1""]",168,-174,-404,230,1000.0,0,cahxree_2024_2025.pgn#29#ply48,2025-12-02 21:24:01,0
200,4r1k1/5pp1/7p/3Q4/P7/1P5P/1q3PP1/3R2K1 b - - 1 27,b,"[""e8b8""]",339,-351,-446,95,1000.0,0,cahxree_2024_2025.pgn#29#ply54,2025-12-02 21:24:02,0
201,4k3/4r3/5p1p/5p2/P7/1P4PP/5PK1/8 b - - 1 44,b,"[""e7b7""]",-603,624,570,54,1050.0,0,cahxree_2024_2025.pgn#29#ply88,2025-12-02 21:24:10,0
202,4k3/8/5p1p/5p2/P4K2/1P4PP/1r3P2/8 b - - 5 46,b,"[""b2f2""]",-689,693,569,124,1050.0,0,cahxree_2024_2025.pgn#29#ply92,2025-12-02 21:24:11,0
203,4k3/8/5p1p/5K2/P7/1r4PP/5P2/8 b - - 0 47,b,"[""e8f7""]",-588,596,471,125,1050.0,0,cahxree_2024_2025.pgn#29#ply94,2025-12-02 21:24:12,0
204,r1b1k2r/1pq2ppp/p1p1p2n/2b1P2Q/4NP2/8/PPPB2PP/R3KB1R b KQkq - 4 12,b,"[""c5e7""]",204,-194,-307,113,1000.0,0,cahxree_2024_2025.pgn#30#ply24,2025-12-02 21:24:18,0
205,r1N5/2kbqppp/1b2p2n/1pp1P2Q/5PP1/1BBR4/PPP4P/2K4R b - - 0 22,b,"[""d7c8""]",187,-197,-253,56,1000.0,0,cahxree_2024_2025.pgn#30#ply44,2025-12-02 21:24:22,0
206,2r1b3/1k2qppp/4p2n/B1b1P2Q/2p2PP1/P1R5/1PP4P/2KR4 b - - 1 28,b,"[""f7f5""]",-68,64,-72,136,1000.0,0,cahxree_2024_2025.pgn#30#ply56,2025-12-02 21:24:25,0
207,2r1b3/4qppp/k3p2n/B1b1P2Q/2R2PP1/P7/1PP4P/2KR4 b - - 0 29,b,"[""c5e3""]",-220,241,-114,355,1150.0,0,cahxree_2024_2025.pgn#30#ply58,2025-12-02 21:24:26,1
208,2r1b3/4qppp/4p2n/k1b1P2Q/1PR2PP1/P7/2P4P/2KR4 b - - 0 30,b,"[""a5b5""]",108,-98,-318,220,1000.0,0,cahxree_2024_2025.pgn#30#ply60,2025-12-02 21:24:26,0
209,4b3/4qppp/k2Rp2n/2r1P2Q/2R2PP1/P7/2P4P/2K5 b - - 1 32,b,"[""e7d6""]",415,-432,-681,249,1000.0,0,cahxree_2024_2025.pgn#30#ply64,2025-12-02 21:24:27,0
210,4b3/4qppp/3Rp2n/2k1P3/5PP1/P6Q/2P4P/2K5 b - - 1 34,b,"[""e7d6""]",759,-745,-100000,99255,1150.0,0,cahxree_2024_2025.pgn#30#ply68,2025-12-02 21:24:28,0
211,r1bqkbnr/pp1ppppp/2n5/8/3NP3/8/PPP2PPP/RNBQKB1R b KQkq - 0 4,b,"[""g8f6""]",31,-30,-83,53,1000.0,0,cahxree_2024_2025.pgn#31#ply8,2025-12-02 21:24:30,0
212,r1bqkbnr/pp2pppp/3p4/8/3QP3/2N5/PPP2PPP/R1B1KB1R b KQkq - 1 6,b,"[""c8d7""]",116,-119,-185,66,1000.0,0,cahxree_2024_2025.pgn#31#ply12,2025-12-02 21:24:31,0
213,r1bqkbnr/pp3ppp/3pp3/8/2BQP3/2N5/PPP2PPP/R1B1K2R b KQkq - 1 7,b,"[""g8f6""]",78,-104,-280,176,1000.0,0,cahxree_2024_2025.pgn#31#ply14,2025-12-02 21:24:31,0
214,r1bq1rk1/4bppp/p2pp3/1pn5/4PPP1/1BN1B2P/PPPQ4/2KR3R b - - 2 14,b,"[""d8a5""]",-115,136,0,136,1000.0,0,cahxree_2024_2025.pgn#31#ply28,2025-12-02 21:24:35,0
215,r4rk1/1b2bppp/p3p3/1p6/2p1PPP1/P1N4P/BPPR4/2K4R b - - 0 18,b,"[""b7c6""]",-245,250,-285,535,1150.0,0,cahxree_2024_2025.pgn#31#ply36,2025-12-02 21:24:37,1
216,r4rk1/1b1Rbppp/p7/1p2p3/2p1PPP1/P1N4P/BPP5/2K4R b - - 1 19,b,"[""e7c5""]",269,-286,-413,127,1000.0,0,cahxree_2024_2025.pgn#31#ply38,2025-12-02 21:24:37,0
217,4r1k1/1b3ppp/p7/1p6/2P1PpP1/P1N4P/B1P5/2K4R b - - 0 23,b,"[""g7g5""]",453,-447,-528,81,1000.0,0,cahxree_2024_2025.pgn#31#ply46,2025-12-02 21:24:39,0
218,8/5R1p/3k1p2/8/5rP1/K6P/B1P5/q7 b - - 5 38,b,"[""f4f3""]",-100000,100000,708,99292,1250.0,1,cahxree_2024_2025.pgn#31#ply76,2025-12-02 21:24:46,1
219,rnbqkb1r/pp3ppp/4pn2/2p5/2B2P2/2NP1N2/PPP3PP/R1BQK2R b KQkq - 0 7,b,"[""b8c6""]",-15,14,-46,60,1000.0,0,cahxree_2024_2025.pgn#32#ply14,2025-12-02 21:24:50,0
